,Name,Date time,Prediction,color_code
102,"Selangor, Malaysia",7/9/2021,25.55852318,#000000
103,"Selangor, Malaysia",8/9/2021,25.36791992,#000000
104,"Selangor, Malaysia",9/9/2021,25.13310432,#000000
105,"Selangor, Malaysia",10/9/2021,25.53310585,#000000
106,"Selangor, Malaysia",11/9/2021,25.09128952,#000000
107,"Selangor, Malaysia",12/9/2021,25.26714706,#000000
108,"Selangor, Malaysia",13/9/2021,24.9268322,#000000
109,"Selangor, Malaysia",14/9/2021,25.25102234,#000000
110,"Selangor, Malaysia",15/9/2021,25.06484604,#000000
111,"Selangor, Malaysia",16/9/2021,24.83621979,#000000
112,"Selangor, Malaysia",17/9/2021,25.24418259,#000000
113,"Selangor, Malaysia",18/9/2021,24.81207085,#000000
114,"Selangor, Malaysia",19/9/2021,24.99935532,#000000
115,"Selangor, Malaysia",20/9/2021,24.6721344,#000000
116,"Selangor, Malaysia",21/9/2021,25.01102066,#000000
117,"Selangor, Malaysia",22/9/2021,24.84106064,#000000
118,"Selangor, Malaysia",23/9/2021,24.63007736,#000000
119,"Selangor, Malaysia",24/9/2021,25.05698967,#000000
120,"Selangor, Malaysia",25/9/2021,24.64501762,#000000
121,"Selangor, Malaysia",26/9/2021,24.85348129,#000000
122,"Selangor, Malaysia",27/9/2021,24.54833603,#000000
123,"Selangor, Malaysia",28/9/2021,24.91002846,#000000
124,"Selangor, Malaysia",29/9/2021,24.76343155,#000000
125,"Selangor, Malaysia",30/9/2021,24.57619095,#000000
126,"Selangor, Malaysia",1/10/2021,25.02704048,#000000
127,"Selangor, Malaysia",2/10/2021,24.63900375,#000000
128,"Selangor, Malaysia",3/10/2021,24.8712101,#000000
129,"Selangor, Malaysia",4/10/2021,24.58942032,#000000
130,"Selangor, Malaysia",5/10/2021,24.97388458,#000000
131,"Selangor, Malaysia",6/10/2021,24.84928322,#000000
132,"Selangor, Malaysia",7/10/2021,24.68307304,#000000
133,"Selangor, Malaysia",8/10/2021,25.15380478,#000000
134,"Selangor, Malaysia",9/10/2021,24.78432846,#000000
135,"Selangor, Malaysia",10/10/2021,25.0336132,#000000
136,"Selangor, Malaysia",11/10/2021,24.76725769,#000000
137,"Selangor, Malaysia",12/10/2021,25.16537476,#000000
